Province,Country,Lat,Long
British Columbia,Canada,55.001251,-125.002441
Alberta,Canada,55.001251,-115.002136
Ontario,Canada,50.000678,-86.000977
Quebec,Canada,52.4760892,-71.8258668
New Brunswick,Canada,46.500283,-66.750183
Manitoba,Canada,55.001251,-97.001038
Saskatchewan,Canada,55.5321257,-106.1412243
Prince Edward Island,Canada,46.5035454,-63.5955171
Nova Scotia,Canada,45.1960403,-63.1653789
Newfoundland and Labrador,Canada,53.8217327,-61.2295532
Northwest Territories,Canada,65.0000004,-118
Yukon,Canada,63.000147,-136.002502
